"mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb"
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
18.1,6,225,105,2.76,3.46,20.22,1,0,3,1
21,6,160,110,3.9,2.62,16.46,0,1,4,4
17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
27.3,4,79,66,4.08,1.935,18.9,1,1,4,1
17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
26,4,120.3,91,4.43,2.14,16.7,0,1,5,2
21,6,160,110,3.9,2.875,17.02,0,1,4,4
10.4,8,460,215,3,5.424,17.82,0,0,3,4
21.4,6,258,110,3.08,3.215,19.44,1,0,3,1
10.4,8,472,205,2.93,5.25,17.98,0,0,3,4
19.2,8,400,175,3.08,3.845,17.05,0,0,3,2
